"CaseNr","Subject","Partner","Reconci","Affilia","Support","ConfInt","ConfDur","Context","RankDif","Latency","PartSex","RconDur","RenewAg","IniCnfl","IniReco","TimToRA"
1,"Ash","Cha",0,"Average","no","NonPhys","1","Other","s",NA,"Female",NA,1,"Subject","None",264
2,"Ash","Ron",0,"Average","no","NonPhys","1","Other","l",NA,"M",NA,0,"Subject","None",NA
3,"Ash","Cha",0,"Average","no","NonPhys","1","Other","s",NA,"Female",NA,0,"Subject","None",NA
4,"Bet","Dan",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Subject","None",NA
5,"Mary","Bri",0,"Average","no","NonPhys","19","Food","s",NA,"Female",NA,0,"Subject","None",NA
6,"Marg","Bri",1,"Strong","no","NonPhys","5","Other","s",3,"Female","53,0",0,"Partner","Subject",NA
7,"Marg","DonF",0,"Average","no","NonPhys","8","Food","l",NA,"Male",NA,0,"Partner","None",NA
8,"Ash","Bri",0,"Weak","no","NonPhys","21","Other","m",NA,"Female",NA,0,"Partner","None",NA
9,"Lis","Ant",0,"Average","no","NonPhys","28","Sex","l",NA,"Male",NA,1,"Subject","None",526
10,"Lis","Tim",0,"Weak","yes","NonPhys","6","Food","l",NA,"Female",NA,0,"Subject","None",NA
11,"Lis","Ant",0,"Average","no","NonPhys","1","Food","l",NA,"Male",NA,0,"Partner","None",NA
12,"Emi","Cha",1,"Average","no","NonPhys","3","Other","l",9,"Female","1,0",0,"Subject","Partner",NA
13,"Emi","Mel",0,"Strong","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Subject","None",NA
14,"Emi","DonF",0,"Average","no","NonPhys","10","Other","l",NA,"Male",NA,0,"Partner","None",NA
15,"Marg","Joh",1,"Strong","no","NonPhys","9","Other","m",2,"Female","6,0",0,"Partner","beide",NA
16,"Marg","Pat",0,"Average","yes","NonPhys","3","Other","l",NA,"Female",NA,0,"Partner","None",NA
17,"Deb","Kar",0,"Average","no","NonPhys","3","Other","l",NA,"Female",NA,0,"Subject","None",NA
18,"Deb","Tim",1,"Strong","no","NonPhys","13","Other","l",33,"Female","5,0",1,"Subject","Partner",108
19,"Deb","Tim",1,"Strong","no","NonPhys","78","Other","l",20,"Female","135,0",0,"Subject","Subject",NA
20,"Eli","Mic",1,"Strong","no","NonPhys","2","Other","s",28,"Female","4,0",0,"Partner","Partner",NA
21,"Eli","Pat",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
22,"Eli","Kev",0,"Average","no","NonPhys","1","Food","l",NA,"Male",NA,0,"Subject","None",NA
23,"Deb","Car",0,"Strong","no","NonPhys","1","Food","m",NA,"Female",NA,1,"Partner","None",162
24,"Deb","Car",0,"Strong","no","NonPhys","1","Food","m",NA,"Female",NA,0,"Partner","None",NA
25,"Deb","Car",0,"Strong","no","NonPhys","1","Food","m",NA,NA,NA,0,"Partner","None",NA
